name,position,team_code
"Mark Baldwin",G,
"Chad Sorensen",G,
"Trey Mullinax",G,
"Antonio Murdaca",G,
"Gunn Yang",G,
"Tony Finau",G,
"Tom Johnson",G,
"Nigel Spence",G,
"Sam Burns",G,
"Bob May",G,
"Scott Harvey",G,
"Byron Meth",G,
"Gary Stal",G,
"Will Zalatoris",G,
"Zack Sucher",G,
"Ben Willman",G,
"Matias Dominguez",G,
"Michael Hopper",G,
"Patrick Newcomb",G,
"Whee Kim",G,
"Lance Lopez",G,
"Kyle Suppa",G,
"Jake Knapp",G,
"Curtis Thompson",G,
"Danie Van Tonder",G,
"Andy Miller",G,
"Thomas Birdsey",G,
"Tom Hoge",G,
"Wes Homan",G,
"Byron Smith",G,
"Chris Gilley",G,
"Garrett Okamura",G,
"Ryan B. Kennedy",G,
"Kevin Golding",G,
"Timothy Crouch",G,
"Thomas Lim",G,
"Clay Myers",G,
"Bryson DeChambeau",G,
